iteration,loglik
0,-786.2206789209072
1,-758.1954048327234
2,-738.9656930088337
3,-730.7633668673888
4,-719.4853110838019
5,-710.8305774127414
6,-710.1026202052108
7,-709.8078540352074
8,-709.1444271122309
9,-705.433995145498
10,-701.99209144529
11,-700.8367247532832
12,-699.2089827842099
13,-698.5842717279228
14,-698.5448605861582
15,-698.5408140423268
16,-698.5396918194754
17,-698.5392822211228
18,-698.5391282522352
19,-698.539070447872
20,-698.5390488164722
21,-698.539040741386
22,-698.5390377321802
23,-698.5390366123281
24,-698.539036196131
